word,mat_1,mat_2,mat_3,mat_4
aa,0.1,0.5,0.1,0.5
ab,0.1,0.5,0.625,1
ac,0.1,0.5,0.375,1
ad,0.1,0.5,0.3,0.5
ae,0.1,0.5,0.272727272727273,0
af,0.1,0.5,0.4,0.5
ag,0.1,0.5,0.5,0.5
ah,0.1,0.5,0.6,0.5
ai,0.1,0.5,0.727272727272727,0
ay,0.1,0.5,0.545454545454545,0
ak,0.1,0.5,0.8,0.5
al,0.1,0.5,0.9,0.5
am,0.1,0.5,0.875,1
an,0.1,0.5,0.75,1
ao,0.1,0.5,0.818181818181818,0
ap,0.1,0.5,0.909090909090909,0
aq,0.1,0.5,0.0909090909090909,0
ar,0.1,0.5,0.363636363636364,0
as,0.1,0.5,0.2,0.5
at,0.1,0.5,0.454545454545455,0
av,0.1,0.5,0.5,1
aw,0.1,0.5,0.181818181818182,0
ax,0.1,0.5,0.25,1
az,0.1,0.5,0.125,1
ba,0.625,1,0.1,0.5
bb,0.625,1,0.625,1
bd,0.625,1,0.3,0.5
be,0.625,1,0.272727272727273,0
bf,0.625,1,0.4,0.5
bg,0.625,1,0.5,0.5
bi,0.625,1,0.727272727272727,0
by,0.625,1,0.545454545454545,0
bk,0.625,1,0.8,0.5
bl,0.625,1,0.9,0.5
bm,0.625,1,0.875,1
bn,0.625,1,0.75,1
bo,0.625,1,0.818181818181818,0
bp,0.625,1,0.909090909090909,0
br,0.625,1,0.363636363636364,0
bs,0.625,1,0.2,0.5
bt,0.625,1,0.454545454545455,0
bu,0.625,1,0.636363636363636,0
bv,0.625,1,0.5,1
bx,0.625,1,0.25,1
bz,0.625,1,0.125,1
ca,0.375,1,0.1,0.5
cb,0.375,1,0.625,1
cc,0.375,1,0.375,1
cd,0.375,1,0.3,0.5
ce,0.375,1,0.272727272727273,0
cf,0.375,1,0.4,0.5
cg,0.375,1,0.5,0.5
ch,0.375,1,0.6,0.5
cy,0.375,1,0.545454545454545,0
ck,0.375,1,0.8,0.5
cl,0.375,1,0.9,0.5
cm,0.375,1,0.875,1
co,0.375,1,0.818181818181818,0
cp,0.375,1,0.909090909090909,0
cq,0.375,1,0.0909090909090909,0
cr,0.375,1,0.363636363636364,0
cs,0.375,1,0.2,0.5
ct,0.375,1,0.454545454545455,0
cu,0.375,1,0.636363636363636,0
cv,0.375,1,0.5,1
da,0.3,0.5,0.1,0.5
db,0.3,0.5,0.625,1
dc,0.3,0.5,0.375,1
dd,0.3,0.5,0.3,0.5
de,0.3,0.5,0.272727272727273,0
dg,0.3,0.5,0.5,0.5
di,0.3,0.5,0.727272727272727,0
dy,0.3,0.5,0.545454545454545,0
dj,0.3,0.5,0.7,0.5
dk,0.3,0.5,0.8,0.5
dl,0.3,0.5,0.9,0.5
dm,0.3,0.5,0.875,1
dn,0.3,0.5,0.75,1
do,0.3,0.5,0.818181818181818,0
dp,0.3,0.5,0.909090909090909,0
dr,0.3,0.5,0.363636363636364,0
ds,0.3,0.5,0.2,0.5
dt,0.3,0.5,0.454545454545455,0
du,0.3,0.5,0.636363636363636,0
dx,0.3,0.5,0.25,1
dz,0.3,0.5,0.125,1
ea,0.272727272727273,0,0.1,0.5
ec,0.272727272727273,0,0.375,1
ed,0.272727272727273,0,0.3,0.5
ee,0.272727272727273,0,0.272727272727273,0
ef,0.272727272727273,0,0.4,0.5
eg,0.272727272727273,0,0.5,0.5
eh,0.272727272727273,0,0.6,0.5
ey,0.272727272727273,0,0.545454545454545,0
el,0.272727272727273,0,0.9,0.5
em,0.272727272727273,0,0.875,1
en,0.272727272727273,0,0.75,1
eo,0.272727272727273,0,0.818181818181818,0
ep,0.272727272727273,0,0.909090909090909,0
eq,0.272727272727273,0,0.0909090909090909,0
er,0.272727272727273,0,0.363636363636364,0
es,0.272727272727273,0,0.2,0.5
et,0.272727272727273,0,0.454545454545455,0
eu,0.272727272727273,0,0.636363636363636,0
ew,0.272727272727273,0,0.181818181818182,0
ex,0.272727272727273,0,0.25,1
fa,0.4,0.5,0.1,0.5
fb,0.4,0.5,0.625,1
fc,0.4,0.5,0.375,1
fe,0.4,0.5,0.272727272727273,0
ff,0.4,0.5,0.4,0.5
fg,0.4,0.5,0.5,0.5
fi,0.4,0.5,0.727272727272727,0
fy,0.4,0.5,0.545454545454545,0
