word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6
aaa,0.1,0.5,0.1,0.5,0.1,0.5
aah,0.1,0.5,0.1,0.5,0.6,0.5
aal,0.1,0.5,0.1,0.5,0.9,0.5
aam,0.1,0.5,0.1,0.5,0.875,1
aas,0.1,0.5,0.1,0.5,0.2,0.5
aba,0.1,0.5,0.625,1,0.1,0.5
abb,0.1,0.5,0.625,1,0.625,1
abc,0.1,0.5,0.625,1,0.375,1
abd,0.1,0.5,0.625,1,0.3,0.5
abe,0.1,0.5,0.625,1,0.272727272727273,0
aby,0.1,0.5,0.625,1,0.545454545454545,0
abl,0.1,0.5,0.625,1,0.9,0.5
abn,0.1,0.5,0.625,1,0.75,1
abo,0.1,0.5,0.625,1,0.818181818181818,0
abp,0.1,0.5,0.625,1,0.909090909090909,0
abr,0.1,0.5,0.625,1,0.363636363636364,0
abs,0.1,0.5,0.625,1,0.2,0.5
abt,0.1,0.5,0.625,1,0.454545454545455,0
abu,0.1,0.5,0.625,1,0.636363636363636,0
abv,0.1,0.5,0.625,1,0.5,1
acc,0.1,0.5,0.375,1,0.375,1
ace,0.1,0.5,0.375,1,0.272727272727273,0
ach,0.1,0.5,0.375,1,0.6,0.5
acy,0.1,0.5,0.375,1,0.545454545454545,0
ack,0.1,0.5,0.375,1,0.8,0.5
act,0.1,0.5,0.375,1,0.454545454545455,0
ada,0.1,0.5,0.3,0.5,0.1,0.5
adc,0.1,0.5,0.3,0.5,0.375,1
add,0.1,0.5,0.3,0.5,0.3,0.5
ade,0.1,0.5,0.3,0.5,0.272727272727273,0
ady,0.1,0.5,0.3,0.5,0.545454545454545,0
adj,0.1,0.5,0.3,0.5,0.7,0.5
adm,0.1,0.5,0.3,0.5,0.875,1
ado,0.1,0.5,0.3,0.5,0.818181818181818,0
adp,0.1,0.5,0.3,0.5,0.909090909090909,0
ads,0.1,0.5,0.3,0.5,0.2,0.5
adv,0.1,0.5,0.3,0.5,0.5,1
adz,0.1,0.5,0.3,0.5,0.125,1
aeq,0.1,0.5,0.272727272727273,0,0.0909090909090909,0
aer,0.1,0.5,0.272727272727273,0,0.363636363636364,0
aes,0.1,0.5,0.272727272727273,0,0.2,0.5
aet,0.1,0.5,0.272727272727273,0,0.454545454545455,0
afb,0.1,0.5,0.4,0.5,0.625,1
afd,0.1,0.5,0.4,0.5,0.3,0.5
aff,0.1,0.5,0.4,0.5,0.4,0.5
aft,0.1,0.5,0.4,0.5,0.454545454545455,0
aga,0.1,0.5,0.5,0.5,0.1,0.5
age,0.1,0.5,0.5,0.5,0.272727272727273,0
agy,0.1,0.5,0.5,0.5,0.545454545454545,0
ago,0.1,0.5,0.5,0.5,0.818181818181818,0
agr,0.1,0.5,0.5,0.5,0.363636363636364,0
agt,0.1,0.5,0.5,0.5,0.454545454545455,0
aha,0.1,0.5,0.6,0.5,0.1,0.5
ahi,0.1,0.5,0.6,0.5,0.727272727272727,0
aho,0.1,0.5,0.6,0.5,0.818181818181818,0
ahs,0.1,0.5,0.6,0.5,0.2,0.5
aht,0.1,0.5,0.6,0.5,0.454545454545455,0
ahu,0.1,0.5,0.6,0.5,0.636363636363636,0
aid,0.1,0.5,0.727272727272727,0,0.3,0.5
aye,0.1,0.5,0.545454545454545,0,0.272727272727273,0
aik,0.1,0.5,0.727272727272727,0,0.8,0.5
ail,0.1,0.5,0.727272727272727,0,0.9,0.5
aim,0.1,0.5,0.727272727272727,0,0.875,1
ain,0.1,0.5,0.727272727272727,0,0.75,1
air,0.1,0.5,0.727272727272727,0,0.363636363636364,0
ais,0.1,0.5,0.727272727272727,0,0.2,0.5
ays,0.1,0.5,0.545454545454545,0,0.2,0.5
ait,0.1,0.5,0.727272727272727,0,0.454545454545455,0
ayu,0.1,0.5,0.545454545454545,0,0.636363636363636,0
aix,0.1,0.5,0.727272727272727,0,0.25,1
aka,0.1,0.5,0.8,0.5,0.1,0.5
ake,0.1,0.5,0.8,0.5,0.272727272727273,0
ako,0.1,0.5,0.8,0.5,0.818181818181818,0
aku,0.1,0.5,0.8,0.5,0.636363636363636,0
ala,0.1,0.5,0.9,0.5,0.1,0.5
alb,0.1,0.5,0.9,0.5,0.625,1
alc,0.1,0.5,0.9,0.5,0.375,1
ald,0.1,0.5,0.9,0.5,0.3,0.5
ale,0.1,0.5,0.9,0.5,0.272727272727273,0
alf,0.1,0.5,0.9,0.5,0.4,0.5
alg,0.1,0.5,0.9,0.5,0.5,0.5
aly,0.1,0.5,0.9,0.5,0.545454545454545,0
alk,0.1,0.5,0.9,0.5,0.8,0.5
all,0.1,0.5,0.9,0.5,0.9,0.5
aln,0.1,0.5,0.9,0.5,0.75,1
alo,0.1,0.5,0.9,0.5,0.818181818181818,0
alp,0.1,0.5,0.9,0.5,0.909090909090909,0
als,0.1,0.5,0.9,0.5,0.2,0.5
alt,0.1,0.5,0.9,0.5,0.454545454545455,0
alw,0.1,0.5,0.9,0.5,0.181818181818182,0
ama,0.1,0.5,0.875,1,0.1,0.5
amb,0.1,0.5,0.875,1,0.625,1
ame,0.1,0.5,0.875,1,0.272727272727273,0
ami,0.1,0.5,0.875,1,0.727272727272727,0
amy,0.1,0.5,0.875,1,0.545454545454545,0
amp,0.1,0.5,0.875,1,0.909090909090909,0
amt,0.1,0.5,0.875,1,0.454545454545455,0
amu,0.1,0.5,0.875,1,0.636363636363636,0
ana,0.1,0.5,0.75,1,0.1,0.5
anc,0.1,0.5,0.75,1,0.375,1
and,0.1,0.5,0.75,1,0.3,0.5
ane,0.1,0.5,0.75,1,0.272727272727273,0
ani,0.1,0.5,0.75,1,0.727272727272727,0
any,0.1,0.5,0.75,1,0.545454545454545,0
ann,0.1,0.5,0.75,1,0.75,1
ans,0.1,0.5,0.75,1,0.2,0.5
ant,0.1,0.5,0.75,1,0.454545454545455,0
aob,0.1,0.5,0.818181818181818,0,0.625,1
aor,0.1,0.5,0.818181818181818,0,0.363636363636364,0
apa,0.1,0.5,0.909090909090909,0,0.1,0.5
ape,0.1,0.5,0.909090909090909,0,0.272727272727273,0
aph,0.1,0.5,0.909090909090909,0,0.6,0.5
apl,0.1,0.5,0.909090909090909,0,0.9,0.5
app,0.1,0.5,0.909090909090909,0,0.909090909090909,0
apr,0.1,0.5,0.909090909090909,0,0.363636363636364,0
apt,0.1,0.5,0.909090909090909,0,0.454545454545455,0
apx,0.1,0.5,0.909090909090909,0,0.25,1
ara,0.1,0.5,0.363636363636364,0,0.1,0.5
arb,0.1,0.5,0.363636363636364,0,0.625,1
arc,0.1,0.5,0.363636363636364,0,0.375,1
are,0.1,0.5,0.363636363636364,0,0.272727272727273,0
arf,0.1,0.5,0.363636363636364,0,0.4,0.5
arg,0.1,0.5,0.363636363636364,0,0.5,0.5
ary,0.1,0.5,0.363636363636364,0,0.545454545454545,0
ark,0.1,0.5,0.363636363636364,0,0.8,0.5
arm,0.1,0.5,0.363636363636364,0,0.875,1
arn,0.1,0.5,0.363636363636364,0,0.75,1
aro,0.1,0.5,0.363636363636364,0,0.818181818181818,0
arr,0.1,0.5,0.363636363636364,0,0.363636363636364,0
ars,0.1,0.5,0.363636363636364,0,0.2,0.5
art,0.1,0.5,0.363636363636364,0,0.454545454545455,0
aru,0.1,0.5,0.363636363636364,0,0.636363636363636,0
arx,0.1,0.5,0.363636363636364,0,0.25,1
asa,0.1,0.5,0.2,0.5,0.1,0.5
asb,0.1,0.5,0.2,0.5,0.625,1
ase,0.1,0.5,0.2,0.5,0.272727272727273,0
asg,0.1,0.5,0.2,0.5,0.5,0.5
ash,0.1,0.5,0.2,0.5,0.6,0.5
ask,0.1,0.5,0.2,0.5,0.8,0.5
asp,0.1,0.5,0.2,0.5,0.909090909090909,0
ass,0.1,0.5,0.2,0.5,0.2,0.5
ast,0.1,0.5,0.2,0.5,0.454545454545455,0
ata,0.1,0.5,0.454545454545455,0,0.1,0.5
ate,0.1,0.5,0.454545454545455,0,0.272727272727273,0
ati,0.1,0.5,0.454545454545455,0,0.727272727272727,0
atm,0.1,0.5,0.454545454545455,0,0.875,1
att,0.1,0.5,0.454545454545455,0,0.454545454545455,0
aud,0.1,0.5,0.636363636363636,0,0.3,0.5
auf,0.1,0.5,0.636363636363636,0,0.4,0.5
aug,0.1,0.5,0.636363636363636,0,0.5,0.5
auh,0.1,0.5,0.636363636363636,0,0.6,0.5
auk,0.1,0.5,0.636363636363636,0,0.8,0.5
aul,0.1,0.5,0.636363636363636,0,0.9,0.5
aum,0.1,0.5,0.636363636363636,0,0.875,1
aus,0.1,0.5,0.636363636363636,0,0.2,0.5
aux,0.1,0.5,0.636363636363636,0,0.25,1
ava,0.1,0.5,0.5,1,0.1,0.5
ave,0.1,0.5,0.5,1,0.272727272727273,0
avg,0.1,0.5,0.5,1,0.5,0.5
avn,0.1,0.5,0.5,1,0.75,1
avo,0.1,0.5,0.5,1,0.818181818181818,0
awa,0.1,0.5,0.181818181818182,0,0.1,0.5
awd,0.1,0.5,0.181818181818182,0,0.3,0.5
awe,0.1,0.5,0.181818181818182,0,0.272727272727273,0
awk,0.1,0.5,0.181818181818182,0,0.8,0.5
awl,0.1,0.5,0.181818181818182,0,0.9,0.5
awm,0.1,0.5,0.181818181818182,0,0.875,1
awn,0.1,0.5,0.181818181818182,0,0.75,1
axe,0.1,0.5,0.25,1,0.272727272727273,0
azo,0.1,0.5,0.125,1,0.818181818181818,0
baa,0.625,1,0.1,0.5,0.1,0.5
bab,0.625,1,0.1,0.5,0.625,1
bac,0.625,1,0.1,0.5,0.375,1
bad,0.625,1,0.1,0.5,0.3,0.5
bae,0.625,1,0.1,0.5,0.272727272727273,0
bag,0.625,1,0.1,0.5,0.5,0.5
bah,0.625,1,0.1,0.5,0.6,0.5
bai,0.625,1,0.1,0.5,0.727272727272727,0
bay,0.625,1,0.1,0.5,0.545454545454545,0
bal,0.625,1,0.1,0.5,0.9,0.5
bam,0.625,1,0.1,0.5,0.875,1
ban,0.625,1,0.1,0.5,0.75,1
bap,0.625,1,0.1,0.5,0.909090909090909,0
bar,0.625,1,0.1,0.5,0.363636363636364,0
bas,0.625,1,0.1,0.5,0.2,0.5
bat,0.625,1,0.1,0.5,0.454545454545455,0
baw,0.625,1,0.1,0.5,0.181818181818182,0
bbl,0.625,1,0.625,1,0.9,0.5
