word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8
aahs,0.1,0.5,0.1,0.5,0.6,0.5,0.2,0.5
aals,0.1,0.5,0.1,0.5,0.9,0.5,0.2,0.5
aani,0.1,0.5,0.1,0.5,0.75,1,0.727272727272727,0
aaru,0.1,0.5,0.1,0.5,0.363636363636364,0,0.636363636363636,0
abac,0.1,0.5,0.625,1,0.1,0.5,0.375,1
abay,0.1,0.5,0.625,1,0.1,0.5,0.545454545454545,0
abas,0.1,0.5,0.625,1,0.1,0.5,0.2,0.5
abba,0.1,0.5,0.625,1,0.625,1,0.1,0.5
abbe,0.1,0.5,0.625,1,0.625,1,0.272727272727273,0
abby,0.1,0.5,0.625,1,0.625,1,0.545454545454545,0
abbr,0.1,0.5,0.625,1,0.625,1,0.363636363636364,0
abed,0.1,0.5,0.625,1,0.272727272727273,0,0.3,0.5
abey,0.1,0.5,0.625,1,0.272727272727273,0,0.545454545454545,0
abel,0.1,0.5,0.625,1,0.272727272727273,0,0.9,0.5
abet,0.1,0.5,0.625,1,0.272727272727273,0,0.454545454545455,0
abib,0.1,0.5,0.625,1,0.727272727272727,0,0.625,1
abie,0.1,0.5,0.625,1,0.727272727272727,0,0.272727272727273,0
abye,0.1,0.5,0.625,1,0.545454545454545,0,0.272727272727273,0
abir,0.1,0.5,0.625,1,0.727272727272727,0,0.363636363636364,0
abys,0.1,0.5,0.625,1,0.545454545454545,0,0.2,0.5
abit,0.1,0.5,0.625,1,0.727272727272727,0,0.454545454545455,0
able,0.1,0.5,0.625,1,0.9,0.5,0.272727272727273,0
ably,0.1,0.5,0.625,1,0.9,0.5,0.545454545454545,0
abos,0.1,0.5,0.625,1,0.818181818181818,0,0.2,0.5
abow,0.1,0.5,0.625,1,0.818181818181818,0,0.181818181818182,0
abox,0.1,0.5,0.625,1,0.818181818181818,0,0.25,1
abri,0.1,0.5,0.625,1,0.363636363636364,0,0.727272727272727,0
absi,0.1,0.5,0.625,1,0.2,0.5,0.727272727272727,0
