word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10
aahed,0.1,0.5,0.1,0.5,0.6,0.5,0.272727272727273,0,0.3,0.5
aalii,0.1,0.5,0.1,0.5,0.9,0.5,0.727272727272727,0,0.727272727272727,0
aargh,0.1,0.5,0.1,0.5,0.363636363636364,0,0.5,0.5,0.6,0.5
aaron,0.1,0.5,0.1,0.5,0.363636363636364,0,0.818181818181818,0,0.75,1
abaca,0.1,0.5,0.625,1,0.1,0.5,0.375,1,0.1,0.5
abaci,0.1,0.5,0.625,1,0.1,0.5,0.375,1,0.727272727272727,0
aback,0.1,0.5,0.625,1,0.1,0.5,0.375,1,0.8,0.5
abada,0.1,0.5,0.625,1,0.1,0.5,0.3,0.5,0.1,0.5
abaff,0.1,0.5,0.625,1,0.1,0.5,0.4,0.5,0.4,0.5
abaft,0.1,0.5,0.625,1,0.1,0.5,0.4,0.5,0.454545454545455,0
abaka,0.1,0.5,0.625,1,0.1,0.5,0.8,0.5,0.1,0.5
abama,0.1,0.5,0.625,1,0.1,0.5,0.875,1,0.1,0.5
abamp,0.1,0.5,0.625,1,0.1,0.5,0.875,1,0.909090909090909,0
aband,0.1,0.5,0.625,1,0.1,0.5,0.75,1,0.3,0.5
abase,0.1,0.5,0.625,1,0.1,0.5,0.2,0.5,0.272727272727273,0
abash,0.1,0.5,0.625,1,0.1,0.5,0.2,0.5,0.6,0.5
abask,0.1,0.5,0.625,1,0.1,0.5,0.2,0.5,0.8,0.5
abate,0.1,0.5,0.625,1,0.1,0.5,0.454545454545455,0,0.272727272727273,0
abaue,0.1,0.5,0.625,1,0.1,0.5,0.636363636363636,0,0.272727272727273,0
abave,0.1,0.5,0.625,1,0.1,0.5,0.5,1,0.272727272727273,0
abaze,0.1,0.5,0.625,1,0.1,0.5,0.125,1,0.272727272727273,0
abbas,0.1,0.5,0.625,1,0.625,1,0.1,0.5,0.2,0.5
abbey,0.1,0.5,0.625,1,0.625,1,0.272727272727273,0,0.545454545454545,0
abbes,0.1,0.5,0.625,1,0.625,1,0.272727272727273,0,0.2,0.5
abbie,0.1,0.5,0.625,1,0.625,1,0.727272727272727,0,0.272727272727273,0
abbot,0.1,0.5,0.625,1,0.625,1,0.818181818181818,0,0.454545454545455,0
abdal,0.1,0.5,0.625,1,0.3,0.5,0.1,0.5,0.9,0.5
abdat,0.1,0.5,0.625,1,0.3,0.5,0.1,0.5,0.454545454545455,0
abdom,0.1,0.5,0.625,1,0.3,0.5,0.818181818181818,0,0.875,1
abeam,0.1,0.5,0.625,1,0.272727272727273,0,0.1,0.5,0.875,1
abear,0.1,0.5,0.625,1,0.272727272727273,0,0.1,0.5,0.363636363636364,0
abede,0.1,0.5,0.625,1,0.272727272727273,0,0.3,0.5,0.272727272727273,0
abele,0.1,0.5,0.625,1,0.272727272727273,0,0.9,0.5,0.272727272727273,0
abend,0.1,0.5,0.625,1,0.272727272727273,0,0.75,1,0.3,0.5
aberr,0.1,0.5,0.625,1,0.272727272727273,0,0.363636363636364,0,0.363636363636364,0
abets,0.1,0.5,0.625,1,0.272727272727273,0,0.454545454545455,0,0.2,0.5
abhor,0.1,0.5,0.625,1,0.6,0.5,0.818181818181818,0,0.363636363636364,0
abide,0.1,0.5,0.625,1,0.727272727272727,0,0.3,0.5,0.272727272727273,0
abidi,0.1,0.5,0.625,1,0.727272727272727,0,0.3,0.5,0.727272727272727,0
abies,0.1,0.5,0.625,1,0.727272727272727,0,0.272727272727273,0,0.2,0.5
abyes,0.1,0.5,0.625,1,0.545454545454545,0,0.272727272727273,0,0.2,0.5
abilo,0.1,0.5,0.625,1,0.727272727272727,0,0.9,0.5,0.818181818181818,0
abime,0.1,0.5,0.625,1,0.727272727272727,0,0.875,1,0.272727272727273,0
abysm,0.1,0.5,0.625,1,0.545454545454545,0,0.2,0.5,0.875,1
abyss,0.1,0.5,0.625,1,0.545454545454545,0,0.2,0.5,0.2,0.5
abkar,0.1,0.5,0.625,1,0.8,0.5,0.1,0.5,0.363636363636364,0
abled,0.1,0.5,0.625,1,0.9,0.5,0.272727272727273,0,0.3,0.5
abler,0.1,0.5,0.625,1,0.9,0.5,0.272727272727273,0,0.363636363636364,0
ables,0.1,0.5,0.625,1,0.9,0.5,0.272727272727273,0,0.2,0.5
ablet,0.1,0.5,0.625,1,0.9,0.5,0.272727272727273,0,0.454545454545455,0
ablow,0.1,0.5,0.625,1,0.9,0.5,0.818181818181818,0,0.181818181818182,0
abmho,0.1,0.5,0.625,1,0.875,1,0.6,0.5,0.818181818181818,0
