word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10,mat_11,mat_12
aahing,0.1,0.5,0.1,0.5,0.6,0.5,0.727272727272727,0,0.75,1,0.5,0.5
aaliis,0.1,0.5,0.1,0.5,0.9,0.5,0.727272727272727,0,0.727272727272727,0,0.2,0.5
aarrgh,0.1,0.5,0.1,0.5,0.363636363636364,0,0.363636363636364,0,0.5,0.5,0.6,0.5
ababua,0.1,0.5,0.625,1,0.1,0.5,0.625,1,0.636363636363636,0,0.1,0.5
abacay,0.1,0.5,0.625,1,0.1,0.5,0.375,1,0.1,0.5,0.545454545454545,0
abacas,0.1,0.5,0.625,1,0.1,0.5,0.375,1,0.1,0.5,0.2,0.5
abacli,0.1,0.5,0.625,1,0.1,0.5,0.375,1,0.9,0.5,0.727272727272727,0
abacot,0.1,0.5,0.625,1,0.1,0.5,0.375,1,0.818181818181818,0,0.454545454545455,0
abacus,0.1,0.5,0.625,1,0.1,0.5,0.375,1,0.636363636363636,0,0.2,0.5
abadia,0.1,0.5,0.625,1,0.1,0.5,0.3,0.5,0.727272727272727,0,0.1,0.5
abayah,0.1,0.5,0.625,1,0.1,0.5,0.545454545454545,0,0.1,0.5,0.6,0.5
abakas,0.1,0.5,0.625,1,0.1,0.5,0.8,0.5,0.1,0.5,0.2,0.5
abamps,0.1,0.5,0.625,1,0.1,0.5,0.875,1,0.909090909090909,0,0.2,0.5
abanet,0.1,0.5,0.625,1,0.1,0.5,0.75,1,0.272727272727273,0,0.454545454545455,0
abanga,0.1,0.5,0.625,1,0.1,0.5,0.75,1,0.5,0.5,0.1,0.5
abanic,0.1,0.5,0.625,1,0.1,0.5,0.75,1,0.727272727272727,0,0.375,1
abaris,0.1,0.5,0.625,1,0.1,0.5,0.363636363636364,0,0.727272727272727,0,0.2,0.5
abased,0.1,0.5,0.625,1,0.1,0.5,0.2,0.5,0.272727272727273,0,0.3,0.5
abaser,0.1,0.5,0.625,1,0.1,0.5,0.2,0.5,0.272727272727273,0,0.363636363636364,0
abases,0.1,0.5,0.625,1,0.1,0.5,0.2,0.5,0.272727272727273,0,0.2,0.5
abasgi,0.1,0.5,0.625,1,0.1,0.5,0.2,0.5,0.5,0.5,0.727272727272727,0
abasia,0.1,0.5,0.625,1,0.1,0.5,0.2,0.5,0.727272727272727,0,0.1,0.5
