word,mat_1,mat_2,mat_3,mat_4
"א""י",0.333333333333333,0,0.545454545454545,1
"אב",0.333333333333333,0,0.3,2
"אד",0.333333333333333,0,0.181818181818182,1
"או",0.333333333333333,0,0.555555555555556,0
"אז",0.333333333333333,0,0.1,2
"אח",0.333333333333333,0,0.636363636363636,1
"אט",0.333333333333333,0,0.444444444444444,0
"אי",0.333333333333333,0,0.545454545454545,1
"אך",0.333333333333333,0,0.818181818181818,1
"אל",0.333333333333333,0,0.727272727272727,1
"אם",0.333333333333333,0,0.777777777777778,0
"אן",0.333333333333333,0,0.666666666666667,0
"אס",0.333333333333333,0,0.2,2
"אף",0.333333333333333,0,0.909090909090909,1
"אץ",0.333333333333333,0,0.9,2
"אר",0.333333333333333,0,0.222222222222222,0
"אש",0.333333333333333,0,0.0909090909090909,1
"את",0.333333333333333,0,0.8,2
"ב""ה",0.3,2,0.4,2
"ב""ש",0.3,2,0.0909090909090909,1
"בא",0.3,2,0.333333333333333,0
"בד",0.3,2,0.181818181818182,1
"בה",0.3,2,0.4,2
"בו",0.3,2,0.555555555555556,0
"בז",0.3,2,0.1,2
"בי",0.3,2,0.545454545454545,1
"בך",0.3,2,0.818181818181818,1
"בל",0.3,2,0.727272727272727,1
"בם",0.3,2,0.777777777777778,0
"בן",0.3,2,0.666666666666667,0
"בס",0.3,2,0.2,2
"בר",0.3,2,0.222222222222222,0
"בת",0.3,2,0.8,2
"ג'ז",0.272727272727273,1,0.1,2
"ג'י",0.272727272727273,1,0.545454545454545,1
"ג'ל",0.272727272727273,1,0.727272727272727,1
"גא",0.272727272727273,1,0.333333333333333,0
"גב",0.272727272727273,1,0.3,2
"גג",0.272727272727273,1,0.272727272727273,1
"גד",0.272727272727273,1,0.181818181818182,1
"גו",0.272727272727273,1,0.555555555555556,0
"גז",0.272727272727273,1,0.1,2
"גח",0.272727272727273,1,0.636363636363636,1
"גט",0.272727272727273,1,0.444444444444444,0
"גל",0.272727272727273,1,0.727272727272727,1
"גם",0.272727272727273,1,0.777777777777778,0
"גן",0.272727272727273,1,0.666666666666667,0
"גס",0.272727272727273,1,0.2,2
"גע",0.272727272727273,1,0.454545454545455,1
"גף",0.272727272727273,1,0.909090909090909,1
"גץ",0.272727272727273,1,0.9,2
"גר",0.272727272727273,1,0.222222222222222,0
"גר'",0.272727272727273,1,0.222222222222222,0
"גש",0.272727272727273,1,0.0909090909090909,1
"גת",0.272727272727273,1,0.8,2
"ד""צ",0.181818181818182,1,0.7,2
"ד""ר",0.181818181818182,1,0.222222222222222,0
"ד""ש",0.181818181818182,1,0.0909090909090909,1
"דב",0.181818181818182,1,0.3,2
"דג",0.181818181818182,1,0.272727272727273,1
"דד",0.181818181818182,1,0.181818181818182,1
"דו",0.181818181818182,1,0.555555555555556,0
"די",0.181818181818182,1,0.545454545454545,1
"דל",0.181818181818182,1,0.727272727272727,1
"דם",0.181818181818182,1,0.777777777777778,0
"דן",0.181818181818182,1,0.666666666666667,0
"דע",0.181818181818182,1,0.454545454545455,1
"דף",0.181818181818182,1,0.909090909090909,1
"דק",0.181818181818182,1,0.111111111111111,0
"דר",0.181818181818182,1,0.222222222222222,0
"דש",0.181818181818182,1,0.0909090909090909,1
