word,mat_1,mat_2,mat_3,mat_4
בכ,0.3,2,0.363636363636364,1
הב,0.4,2,0.3,2
הה,0.4,2,0.4,2
הכ,0.4,2,0.363636363636364,1
הל,0.4,2,0.727272727272727,1
המ,0.4,2,0.6,2
וב,0.555555555555556,0,0.3,2
וה,0.555555555555556,0,0.4,2
וכ,0.555555555555556,0,0.363636363636364,1
ול,0.555555555555556,0,0.727272727272727,1
ומ,0.555555555555556,0,0.6,2
וש,0.555555555555556,0,0.0909090909090909,1
כב,0.363636363636364,1,0.3,2
ככ,0.363636363636364,1,0.363636363636364,1
כל,0.363636363636364,1,0.727272727272727,1
כמ,0.363636363636364,1,0.6,2
כש,0.363636363636364,1,0.0909090909090909,1
לכ,0.727272727272727,1,0.363636363636364,1
מב,0.6,2,0.3,2
מה,0.6,2,0.4,2
מכ,0.6,2,0.363636363636364,1
מל,0.6,2,0.727272727272727,1
מש,0.6,2,0.0909090909090909,1
שב,0.0909090909090909,1,0.3,2
שה,0.0909090909090909,1,0.4,2
שכ,0.0909090909090909,1,0.363636363636364,1
של,0.0909090909090909,1,0.727272727272727,1
שמ,0.0909090909090909,1,0.6,2
