word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6
הבכ,0.4,2,0.3,2,0.363636363636364,1
הכב,0.4,2,0.363636363636364,1,0.3,2
הככ,0.4,2,0.363636363636364,1,0.363636363636364,1
הכל,0.4,2,0.363636363636364,1,0.727272727272727,1
הכמ,0.4,2,0.363636363636364,1,0.6,2
הכש,0.4,2,0.363636363636364,1,0.0909090909090909,1
הלכ,0.4,2,0.727272727272727,1,0.363636363636364,1
המה,0.4,2,0.6,2,0.4,2
המכ,0.4,2,0.6,2,0.363636363636364,1
המש,0.4,2,0.6,2,0.0909090909090909,1
ובכ,0.555555555555556,0,0.3,2,0.363636363636364,1
והב,0.555555555555556,0,0.4,2,0.3,2
והה,0.555555555555556,0,0.4,2,0.4,2
והכ,0.555555555555556,0,0.4,2,0.363636363636364,1
והל,0.555555555555556,0,0.4,2,0.727272727272727,1
והמ,0.555555555555556,0,0.4,2,0.6,2
וכב,0.555555555555556,0,0.363636363636364,1,0.3,2
וככ,0.555555555555556,0,0.363636363636364,1,0.363636363636364,1
וכל,0.555555555555556,0,0.363636363636364,1,0.727272727272727,1
וכמ,0.555555555555556,0,0.363636363636364,1,0.6,2
וכש,0.555555555555556,0,0.363636363636364,1,0.0909090909090909,1
ולכ,0.555555555555556,0,0.727272727272727,1,0.363636363636364,1
ומה,0.555555555555556,0,0.6,2,0.4,2
ומכ,0.555555555555556,0,0.6,2,0.363636363636364,1
ומש,0.555555555555556,0,0.6,2,0.0909090909090909,1
ושב,0.555555555555556,0,0.0909090909090909,1,0.3,2
ושה,0.555555555555556,0,0.0909090909090909,1,0.4,2
ושכ,0.555555555555556,0,0.0909090909090909,1,0.363636363636364,1
ושל,0.555555555555556,0,0.0909090909090909,1,0.727272727272727,1
ושמ,0.555555555555556,0,0.0909090909090909,1,0.6,2
כמה,0.363636363636364,1,0.6,2,0.4,2
כשב,0.363636363636364,1,0.0909090909090909,1,0.3,2
כשה,0.363636363636364,1,0.0909090909090909,1,0.4,2
כשכ,0.363636363636364,1,0.0909090909090909,1,0.363636363636364,1
כשל,0.363636363636364,1,0.0909090909090909,1,0.727272727272727,1
כשמ,0.363636363636364,1,0.0909090909090909,1,0.6,2
לכש,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1
משב,0.6,2,0.0909090909090909,1,0.3,2
משה,0.6,2,0.0909090909090909,1,0.4,2
משכ,0.6,2,0.0909090909090909,1,0.363636363636364,1
משל,0.6,2,0.0909090909090909,1,0.727272727272727,1
משמ,0.6,2,0.0909090909090909,1,0.6,2
שבכ,0.0909090909090909,1,0.3,2,0.363636363636364,1
שכב,0.0909090909090909,1,0.363636363636364,1,0.3,2
שככ,0.0909090909090909,1,0.363636363636364,1,0.363636363636364,1
שכל,0.0909090909090909,1,0.363636363636364,1,0.727272727272727,1
שכמ,0.0909090909090909,1,0.363636363636364,1,0.6,2
שכש,0.0909090909090909,1,0.363636363636364,1,0.0909090909090909,1
שלכ,0.0909090909090909,1,0.727272727272727,1,0.363636363636364,1
שמה,0.0909090909090909,1,0.6,2,0.4,2
שמכ,0.0909090909090909,1,0.6,2,0.363636363636364,1
שמש,0.0909090909090909,1,0.6,2,0.0909090909090909,1
