word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8
הכמה,0.4,1,0.363636363636364,0.5,0.6,1,0.4,1
הכשב,0.4,1,0.363636363636364,0.5,0.0909090909090909,0.5,0.3,1
הכשה,0.4,1,0.363636363636364,0.5,0.0909090909090909,0.5,0.4,1
הכשכ,0.4,1,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5
הכשל,0.4,1,0.363636363636364,0.5,0.0909090909090909,0.5,0.727272727272727,0.5
הכשמ,0.4,1,0.363636363636364,0.5,0.0909090909090909,0.5,0.6,1
הלכש,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5
המשב,0.4,1,0.6,1,0.0909090909090909,0.5,0.3,1
המשה,0.4,1,0.6,1,0.0909090909090909,0.5,0.4,1
המשכ,0.4,1,0.6,1,0.0909090909090909,0.5,0.363636363636364,0.5
המשל,0.4,1,0.6,1,0.0909090909090909,0.5,0.727272727272727,0.5
המשמ,0.4,1,0.6,1,0.0909090909090909,0.5,0.6,1
והבכ,0.555555555555556,0,0.4,1,0.3,1,0.363636363636364,0.5
והכב,0.555555555555556,0,0.4,1,0.363636363636364,0.5,0.3,1
והככ,0.555555555555556,0,0.4,1,0.363636363636364,0.5,0.363636363636364,0.5
והכל,0.555555555555556,0,0.4,1,0.363636363636364,0.5,0.727272727272727,0.5
והכמ,0.555555555555556,0,0.4,1,0.363636363636364,0.5,0.6,1
והכש,0.555555555555556,0,0.4,1,0.363636363636364,0.5,0.0909090909090909,0.5
והלכ,0.555555555555556,0,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5
והמה,0.555555555555556,0,0.4,1,0.6,1,0.4,1
והמכ,0.555555555555556,0,0.4,1,0.6,1,0.363636363636364,0.5
והמש,0.555555555555556,0,0.4,1,0.6,1,0.0909090909090909,0.5
וכמה,0.555555555555556,0,0.363636363636364,0.5,0.6,1,0.4,1
וכשב,0.555555555555556,0,0.363636363636364,0.5,0.0909090909090909,0.5,0.3,1
וכשה,0.555555555555556,0,0.363636363636364,0.5,0.0909090909090909,0.5,0.4,1
וכשכ,0.555555555555556,0,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5
וכשל,0.555555555555556,0,0.363636363636364,0.5,0.0909090909090909,0.5,0.727272727272727,0.5
וכשמ,0.555555555555556,0,0.363636363636364,0.5,0.0909090909090909,0.5,0.6,1
ולכש,0.555555555555556,0,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5
ומשב,0.555555555555556,0,0.6,1,0.0909090909090909,0.5,0.3,1
ומשה,0.555555555555556,0,0.6,1,0.0909090909090909,0.5,0.4,1
ומשכ,0.555555555555556,0,0.6,1,0.0909090909090909,0.5,0.363636363636364,0.5
ומשל,0.555555555555556,0,0.6,1,0.0909090909090909,0.5,0.727272727272727,0.5
ומשמ,0.555555555555556,0,0.6,1,0.0909090909090909,0.5,0.6,1
ושבכ,0.555555555555556,0,0.0909090909090909,0.5,0.3,1,0.363636363636364,0.5
ושכב,0.555555555555556,0,0.0909090909090909,0.5,0.363636363636364,0.5,0.3,1
ושככ,0.555555555555556,0,0.0909090909090909,0.5,0.363636363636364,0.5,0.363636363636364,0.5
ושכל,0.555555555555556,0,0.0909090909090909,0.5,0.363636363636364,0.5,0.727272727272727,0.5
ושכמ,0.555555555555556,0,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1
ושכש,0.555555555555556,0,0.0909090909090909,0.5,0.363636363636364,0.5,0.0909090909090909,0.5
ושלכ,0.555555555555556,0,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5
ושמה,0.555555555555556,0,0.0909090909090909,0.5,0.6,1,0.4,1
ושמכ,0.555555555555556,0,0.0909090909090909,0.5,0.6,1,0.363636363636364,0.5
ושמש,0.555555555555556,0,0.0909090909090909,0.5,0.6,1,0.0909090909090909,0.5
כשבכ,0.363636363636364,0.5,0.0909090909090909,0.5,0.3,1,0.363636363636364,0.5
כשכב,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.3,1
כשככ,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.363636363636364,0.5
כשכל,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.727272727272727,0.5
כשכמ,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1
כשלכ,0.363636363636364,0.5,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5
כשמה,0.363636363636364,0.5,0.0909090909090909,0.5,0.6,1,0.4,1
כשמכ,0.363636363636364,0.5,0.0909090909090909,0.5,0.6,1,0.363636363636364,0.5
לכשב,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.3,1
לכשה,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.4,1
לכשכ,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5
לכשל,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.727272727272727,0.5
לכשמ,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.6,1
משבכ,0.6,1,0.0909090909090909,0.5,0.3,1,0.363636363636364,0.5
משכב,0.6,1,0.0909090909090909,0.5,0.363636363636364,0.5,0.3,1
משככ,0.6,1,0.0909090909090909,0.5,0.363636363636364,0.5,0.363636363636364,0.5
משכל,0.6,1,0.0909090909090909,0.5,0.363636363636364,0.5,0.727272727272727,0.5
משכמ,0.6,1,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1
משלכ,0.6,1,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5
משמה,0.6,1,0.0909090909090909,0.5,0.6,1,0.4,1
משמכ,0.6,1,0.0909090909090909,0.5,0.6,1,0.363636363636364,0.5
שכמה,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1,0.4,1
שכשב,0.0909090909090909,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.3,1
שכשה,0.0909090909090909,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.4,1
שכשכ,0.0909090909090909,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5
שכשל,0.0909090909090909,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.727272727272727,0.5
שכשמ,0.0909090909090909,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.6,1
שלכש,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5
שמשב,0.0909090909090909,0.5,0.6,1,0.0909090909090909,0.5,0.3,1
שמשה,0.0909090909090909,0.5,0.6,1,0.0909090909090909,0.5,0.4,1
שמשכ,0.0909090909090909,0.5,0.6,1,0.0909090909090909,0.5,0.363636363636364,0.5
