word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10
הכשבכ,0.4,2,0.363636363636364,1,0.0909090909090909,1,0.3,2,0.363636363636364,1
הכשכב,0.4,2,0.363636363636364,1,0.0909090909090909,1,0.363636363636364,1,0.3,2
הכשככ,0.4,2,0.363636363636364,1,0.0909090909090909,1,0.363636363636364,1,0.363636363636364,1
הכשכל,0.4,2,0.363636363636364,1,0.0909090909090909,1,0.363636363636364,1,0.727272727272727,1
הכשכמ,0.4,2,0.363636363636364,1,0.0909090909090909,1,0.363636363636364,1,0.6,2
הכשלכ,0.4,2,0.363636363636364,1,0.0909090909090909,1,0.727272727272727,1,0.363636363636364,1
הכשמה,0.4,2,0.363636363636364,1,0.0909090909090909,1,0.6,2,0.4,2
הכשמכ,0.4,2,0.363636363636364,1,0.0909090909090909,1,0.6,2,0.363636363636364,1
הלכשב,0.4,2,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1,0.3,2
הלכשה,0.4,2,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1,0.4,2
הלכשכ,0.4,2,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1,0.363636363636364,1
הלכשל,0.4,2,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1,0.727272727272727,1
הלכשמ,0.4,2,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1,0.6,2
המשבכ,0.4,2,0.6,2,0.0909090909090909,1,0.3,2,0.363636363636364,1
המשכב,0.4,2,0.6,2,0.0909090909090909,1,0.363636363636364,1,0.3,2
המשככ,0.4,2,0.6,2,0.0909090909090909,1,0.363636363636364,1,0.363636363636364,1
המשכל,0.4,2,0.6,2,0.0909090909090909,1,0.363636363636364,1,0.727272727272727,1
המשכמ,0.4,2,0.6,2,0.0909090909090909,1,0.363636363636364,1,0.6,2
המשלכ,0.4,2,0.6,2,0.0909090909090909,1,0.727272727272727,1,0.363636363636364,1
המשמה,0.4,2,0.6,2,0.0909090909090909,1,0.6,2,0.4,2
המשמכ,0.4,2,0.6,2,0.0909090909090909,1,0.6,2,0.363636363636364,1
והכמה,0.555555555555556,0,0.4,2,0.363636363636364,1,0.6,2,0.4,2
והכשב,0.555555555555556,0,0.4,2,0.363636363636364,1,0.0909090909090909,1,0.3,2
והכשה,0.555555555555556,0,0.4,2,0.363636363636364,1,0.0909090909090909,1,0.4,2
והכשכ,0.555555555555556,0,0.4,2,0.363636363636364,1,0.0909090909090909,1,0.363636363636364,1
והכשל,0.555555555555556,0,0.4,2,0.363636363636364,1,0.0909090909090909,1,0.727272727272727,1
והכשמ,0.555555555555556,0,0.4,2,0.363636363636364,1,0.0909090909090909,1,0.6,2
והלכש,0.555555555555556,0,0.4,2,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1
והמשב,0.555555555555556,0,0.4,2,0.6,2,0.0909090909090909,1,0.3,2
והמשה,0.555555555555556,0,0.4,2,0.6,2,0.0909090909090909,1,0.4,2
והמשכ,0.555555555555556,0,0.4,2,0.6,2,0.0909090909090909,1,0.363636363636364,1
והמשל,0.555555555555556,0,0.4,2,0.6,2,0.0909090909090909,1,0.727272727272727,1
והמשמ,0.555555555555556,0,0.4,2,0.6,2,0.0909090909090909,1,0.6,2
וכשבכ,0.555555555555556,0,0.363636363636364,1,0.0909090909090909,1,0.3,2,0.363636363636364,1
וכשכב,0.555555555555556,0,0.363636363636364,1,0.0909090909090909,1,0.363636363636364,1,0.3,2
וכשככ,0.555555555555556,0,0.363636363636364,1,0.0909090909090909,1,0.363636363636364,1,0.363636363636364,1
וכשכל,0.555555555555556,0,0.363636363636364,1,0.0909090909090909,1,0.363636363636364,1,0.727272727272727,1
וכשכמ,0.555555555555556,0,0.363636363636364,1,0.0909090909090909,1,0.363636363636364,1,0.6,2
וכשלכ,0.555555555555556,0,0.363636363636364,1,0.0909090909090909,1,0.727272727272727,1,0.363636363636364,1
וכשמה,0.555555555555556,0,0.363636363636364,1,0.0909090909090909,1,0.6,2,0.4,2
וכשמכ,0.555555555555556,0,0.363636363636364,1,0.0909090909090909,1,0.6,2,0.363636363636364,1
ולכשב,0.555555555555556,0,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1,0.3,2
